Thai_Name,Botanical_NoAuthor,Botanical_Name,Count_Tags,Cout_GBH_2023,Cout_GBH_2025,Min_Height_2023,Mean_Height_2023,Max_Height_2023,Min_Height_2025,Mean_Height_2025,Max_Height_2025
กรวยป่า,Casearia grewiifolia,Casearia grewiifolia Vent.,7,7,7,5,8.13,14,5.8,9.1,12.2
กระดังงาไทย,Cananga odorata,"Cananga odorata (Lam.) Hook.f. & Thomson",2,2,2,17.3,18.8,20.3,21,21.6,22.2
กระถินณรงค์,Acacia auriculiformis,"Acacia auriculiformis A.Cunn. ex Benth.",90,37,88,4.5,9.9,17.2,1.1,10.87,61.1
กระถินยักษ์,Leucaena leucocephala,"Leucaena leucocephala (Lam.) de Wit",63,18,55,3.6,6.33,10,4,7.1,13.5
กระถินเทพา,Acacia mangium,Acacia mangium Willd.,119,3,119,10.2,12.13,14.2,0,11.88,24.8
กระทิง,Calophyllum inophyllum,Calophyllum inophyllum L.,31,19,31,3.5,10.07,17.2,5.1,10.07,17.6
กระทุ่ม,Neolamarckia cadamba,"Neolamarckia cadamba (Roxb.) Bosser",11,2,11,12,12,12,9.9,15.8,21.1
กระท่อมหมู,Mitragyna rotundifolia,"Mitragyna rotundifolia (Roxb.) Kuntze",92,70,88,3.6,8.53,16,4,8.65,20
กระทุ่มนา,Mitragyna diversifolia,"Mitragyna diversifolia (Wall. ex G.Don) Havil.",12,2,12,7.5,7.75,8,4.6,7.8,11
กระท้อน,Sandoricum koetjape,"Sandoricum koetjape (Burm.f.) Merr.",21,13,21,5,9.34,18.4,5.9,13.29,21.1
กระบก,Irvingia malayana,Irvingia malayana Oliv. ex A.W.Benn.,24,13,24,3.7,8.95,15,4.4,11.56,22
กระบาก,Anisoptera costata,Anisoptera costata Korth.,12,6,12,8,16.5,24,7.1,14.53,26
กระพี้จั่น,Millettia brandisiana,Millettia brandisiana Kurz,48,18,44,4,6.99,12,3,7.71,13.8
กระพี้นางนวล,Dalbergia cana,Dalbergia cana Graham ex Kurz,6,5,6,2,7.76,17.8,3.3,8.68,15.5
กระพี้เขาควาย,Dalbergia cultrata,Dalbergia cultrata T.S.Ralph,52,49,52,1.5,7.9,15.5,1.5,9.08,18.4
กระมอบ,Gardenia obtusifolia,Gardenia obtusifolia Roxb. ex Kurz,3,0,3,,,,4,4.87,6.1
กระเชา,Holoptelea integrifolia,"Holoptelea integrifolia (Roxb.) Planch.",6,3,6,12.1,14.13,15.5,4.3,17.2,24.6
กระเบากลัก,Hydnocarpus ilicifolius,Hydnocarpus ilicifolius King,19,0,19,,,,5.8,11.04,18
กระเบาน้ำ,Hydnocarpus castaneus,"Hydnocarpus castaneus Hook.f. & Thomson",4,0,4,,,,4.2,4.53,5.2
กระเบียน,Ceriscoides turgida,"Ceriscoides turgida (Roxb.) Tirveng.",7,0,7,,,,5.6,7.11,8.7
กระแจะ,Naringi crenulata,"Naringi crenulata (Roxb.) Nicolson",5,4,4,3.5,10.43,20,11.4,14.47,18
กระโดน,Careya arborea,Careya arborea Roxb.,15,10,15,5.5,8.88,14.3,2.3,9.1,23.6
กริม,Aporosa planchoniana,"Aporosa planchoniana Baill. ex Müll.Arg.",38,0,38,,,,4,8.09,16.2
กร่าง,Ficus altissima,Ficus altissima Blume,5,5,5,3,4.36,5.2,3,4.26,5.87
กฤษณา,Aquilaria crassna,Aquilaria crassna Pierre ex Lecomte,7,0,7,,,,2,7.29,16.6
กลึงกล่อม,Polyalthia suberosa,"Polyalthia suberosa (Roxb.) Thwaites",2,0,2,,,,3.1,4.6,6.1
กล้วยน้อย,Xylopia vielana,Xylopia vielana Pierre,3,0,3,,,,11.5,13.6,17
กะตังใบ,Leea indica,"Leea indica (Burm.f.) Merr.",1,1,1,2.7,2.7,2.7,5.2,5.2,5.2
กะทังใบใหญ่,Litsea grandis,"Litsea grandis (Nees) Hook.f.",3,2,3,6,6.25,6.5,8,8.87,10.3
กะลิง,Diospyros pilosanthera,Diospyros pilosanthera Blanco,5,4,5,6,6.95,7.8,5.5,6.98,10.2
กะอวม,Acronychia pedunculata,"Acronychia pedunculata (L.) Miq.",21,1,21,4.8,4.8,4.8,5.2,9.78,16.4
กะออก,Artocarpus elasticus,Artocarpus elasticus Reinw. ex Blume,5,5,5,5.5,16.8,25.3,7.2,17.1,30.1
กะอาม,Crypteronia paniculata,Crypteronia paniculata Blume,6,6,6,4.5,11.2,15,6,11.03,15
กะเจียน,Huberantha cerasoides,"Huberantha cerasoides (Roxb.) Chaowasku",46,31,44,3.2,7.34,12.9,4,8.46,25.8
กะเหรี่ยง,Ficus capillipes,Ficus capillipes Gagnep.,1,0,1,,,,14,14,14
กัดลิ้น,Walsura trichostemon,Walsura trichostemon Miq.,12,9,12,0,6.56,17,4.2,7.91,12.7
กันเกรา,Cyrtophyllum fragrans,"Cyrtophyllum fragrans (Roxb.) DC.",15,3,15,3.2,4.9,7.5,5,10.15,15.1
กัลปพฤกษ์,Cassia bakeriana,Cassia bakeriana Craib,32,20,28,2.3,7.88,12.7,3.34,10.23,15.9
กางขี้มอด,Albizia odoratissima,"Albizia odoratissima (L.f.) Benth.",4,3,4,6.2,9.37,13.2,6.8,9.68,13.8
กานพลู,Pellacalyx parkinsonii,Pellacalyx parkinsonii C.E.C.Fisch.,1,1,1,12.5,12.5,12.5,31.9,31.9,31.9
การบูร,Cinnamomum camphora,"Cinnamomum camphora (L.) J.Presl",1,1,0,9.2,9.2,9.2,,,
กาลน,Elaeocarpus floribundus,Elaeocarpus floribundus Blume,8,8,8,4.5,12.32,25.3,7.2,16.19,27.5
กาสามปีก,Vitex peduncularis,Vitex peduncularis Wall. ex Schauer,55,27,55,5.1,9.74,15,4.8,10.8,23.5
กาฬพฤกษ์,Cassia grandis,Cassia grandis L.f.,20,19,10,7,8.48,12,7.3,10.95,13
กำลังช้างเผือก,Hiptage candicans,Hiptage candicans Hook.f.,1,0,1,,,,3.8,3.8,3.8
กุ่มน้ำ,Crateva magna,"Crateva magna (Lour.) DC.",5,1,4,3.9,3.9,3.9,10.5,12.2,15.3
กุ่มบก,Crateva adansonii,Crateva adansonii DC.,18,7,18,1.8,4.14,6,3.2,7.72,13
กุ๊ก,Lannea coromandelica,"Lannea coromandelica (Houtt.) Merr.",82,32,79,2.2,8.85,15,2.9,9.74,24
ก่อคอแลน,Castanopsis nephelioides,Castanopsis nephelioides King ex Hook.f.,2,2,2,12.3,13.75,15.2,13.6,14.2,14.8
ก่อบ้าน,Castanopsis wallichii,Castanopsis wallichii King ex Hook.f.,1,1,1,28.3,28.3,28.3,,,
ก่อแพะ,Quercus kerrii,Quercus kerrii Craib,1,0,1,,,,7.8,7.8,7.8
ก้านเหลือง,Nauclea orientalis,"Nauclea orientalis (L.) L.",31,0,31,,,,7.2,15.33,76
ขนุน,Artocarpus heterophyllus,Artocarpus heterophyllus Lam.,12,5,12,6,7.36,8,4.5,8.19,11.5
ขนุนนก,Palaquium obovatum,"Palaquium obovatum (Griff.) Engl.",2,2,2,8.6,19.55,30.5,9.2,10.45,11.7
ขนุนป่า,Artocarpus chama,Artocarpus chama Buch.-Ham.,1,0,1,,,,18,18,18
ขมิ้นต้น,Adina trichotoma,"Adina trichotoma (Zoll. & Moritzi) Benth. & Hook.f. ex B.D.Jacks.",4,4,4,4,7.13,10.7,7.2,9.18,11.3
ขว้าว,Haldina cordifolia,"Haldina cordifolia (Roxb.) Ridsdale",17,15,17,4.3,11.88,20,5.1,11.95,17.1
ขันทองพยาบาท,Suregada multiflora,"Suregada multiflora (A.Juss.) Baill.",27,7,27,5.6,8.84,12.7,2.7,8.29,16.9
ขางน้ำผึ้ง,Claoxylon indicum,"Claoxylon indicum (Reinw. ex Blume) Hassk.",1,1,1,5,5,5,8,8,8
ขางหัวหมู,Miliusa velutina,"Miliusa velutina (DC.) Hook.f. & Thomson",6,3,6,5.2,10.07,15,5.6,11.75,19
ขานาง,Homalium tomentosum,"Homalium tomentosum (Vent.) Benth.",5,0,5,,,,8,12.5,14.7
ขามคัวะ,Pterospermum semisagittatum,Pterospermum semisagittatum Ham. ex Roxb.,2,0,2,,,,6,8.85,11.7
ขี้มอด,Dalbergia lanceolaria var. lakhonensis,"Dalbergia lanceolaria var. lakhonensis (Gagnep.) Niyomdham & P.H.Hô",8,3,8,8.9,10.63,14,5.6,12.04,22.2
ขี้หนอน,Zollingeria dongnaiensis,Zollingeria dongnaiensis Pierre,9,2,9,9.8,12.75,15.7,4.5,14.27,30
ขี้อ้าย,Terminalia triptera,Terminalia triptera Stapf,40,39,37,4.3,12.77,24.3,3.7,9.2,15.8
ขี้เหล็ก,Senna siamea,"Senna siamea (Lam.) H.S.Irwin & Barneby",169,71,162,5.6,9.98,21,2.9,9.97,23
ขี้เหล็กอเมริกัน,Senna spectabilis,"Senna spectabilis (DC.) H.S.Irwin & Barneby",1,0,1,,,,9.4,9.4,9.4
ข่อย,Streblus asper,Streblus asper Lour.,314,203,304,2,6.95,17.8,1.6,6.77,23.5
คงคาเดือด,Arfeuillea arborescens,Arfeuillea arborescens Pierre ex Radlk.,3,2,3,7,7.75,8.5,6.51,9.1,10.9
คอร์เดีย,Cordia sebestena,Cordia sebestena L.,2,1,2,2.9,2.9,2.9,4.6,5.05,5.5
คอเหี้ย,Xerospermum noronhianum,"Xerospermum noronhianum (Blume) Blume.",3,3,3,3.4,4.77,6.3,2.3,4.27,6.2
คอแลน,Nephelium hypoleucum,Nephelium hypoleucum Kurz,17,13,17,3.1,7,13,0,18.03,137.6
คันแหลน,Psydrax nitidus,"Psydrax nitidus (Craib) K.M.Wong",1,0,1,,,,6,6,6
คาง,Albizia lebbekoides,"Albizia lebbekoides (DC.) Benth.",18,4,18,3.6,7.22,10,4,12.78,21.1
คำมอกหลวง,Gardenia sootepensis,Gardenia sootepensis Hutch.,10,1,10,5.8,5.8,5.8,4,6.46,12.4
คำรอก,Ellipanthus tomentosus,Ellipanthus tomentosus Kurz,27,10,27,2.1,4.88,7.2,2.8,8.91,41
คำแสด,Mallotus philippensis,"Mallotus philippensis (Lam.) Müll.Arg.",12,12,8,6,8.22,12,4.1,8.18,12.5
คูน,Cassia fistula,Cassia fistula L.,340,136,339,0.4,7.25,17,2.2,8.27,19
คูนขาว,Cassia × nealiae,"Cassia × nealiae H.S.Irwin & Barneby",6,0,6,,,,4.2,4.63,5.1
ค่างเต้น,Canthiumera robusta,"Canthiumera robusta K.M.Wong & X.Y.Ng",23,23,23,6.7,9.13,12.5,5,11.62,20.9
งาไซ,Planchonella obovata,"Planchonella obovata (R.Br.) Pierre",1,1,1,7.6,7.6,7.6,6.8,6.8,6.8
งิ้วดอกขาว,Bombax anceps,Bombax anceps Pierre,31,16,30,4.2,10.18,19.9,5.2,12.4,32.5
จักจั่น,Millettia xylocarpa,Millettia xylocarpa Miq.,60,24,60,4,8.18,26.7,3,8.71,16.4
จักหัน,Orophea polycarpa,Orophea polycarpa A.DC.,2,0,2,,,,6,9,12
จันดำ,Diospyros venosa,Diospyros venosa Wall. ex A.DC.,1,1,1,5.31,5.31,5.31,5.8,5.8,5.8
จันทน์กะพ้อ,Vatica diospyroides,Vatica diospyroides Symington,4,1,4,4,4,4,2.9,4.63,8
จันทน์หอม,Mansonia gagei,Mansonia gagei J.R.Drumm.,2,0,2,,,,8.8,10,11.2
จามจุรี,Samanea saman,"Samanea saman (Jacq.) Merr.",150,76,146,3.8,11.33,17.7,3.7,13,26.7
จำปา,Magnolia champaca,"Magnolia champaca (L.) Baill. ex Pierre",3,2,3,5.3,6.9,8.5,2.2,4.7,7.2
จำปี,Magnolia × alba,"Magnolia × alba (DC.) Figlar",5,4,5,4.1,9.42,14.5,2.7,8.22,16.5
จิกน้ำ,Barringtonia acutangula,"Barringtonia acutangula (L.) Gaertn.",22,16,21,2.7,7.08,14,3.4,6.71,10.2
จิกสวน,Barringtonia racemosa,"Barringtonia racemosa (L.) Gaertn.",1,1,1,4,4,4,5.8,5.8,5.8
ฉนวน,Dalbergia nigrescens,Dalbergia nigrescens Kurz,14,7,14,2.5,11.67,16.8,3.2,10.51,26.4
ชงโค,Bauhinia purpurea,Bauhinia purpurea L.,28,24,26,2.3,7.55,16,3.8,8.02,12
ชมพูพันธุ์ทิพย์,Tabebuia rosea,"Tabebuia rosea (Bertol.) DC.",88,18,84,2.6,10.16,16,3.2,7.82,15.5
ชมพู่น้ำ,Syzygium siamense,"Syzygium siamense (Craib) Chantar. & J. Parn.",1,0,1,,,,7,7,7
ชะมวง,Garcinia cowa,Garcinia cowa Roxb. ex Choisy,9,4,9,5.9,6.15,6.5,6,7.74,13.8
ชะเนียง,Archidendron jiringa,"Archidendron jiringa (Jack) I.C.Nielsen",4,4,4,6.7,8.47,10.5,9.8,11.22,12.1
ชัยพฤกษ์,Cassia javanica,Cassia javanica L.,3,1,3,12.3,12.3,12.3,8.3,10.83,12.3
ชิงชัน,Dalbergia oliveri,Dalbergia oliveri Gamble ex Prain,13,0,13,,,,4.2,9.72,18
ชิงชี่,Capparis micracantha,Capparis micracantha DC.,1,0,1,,,,4,4,4
ช้างน้าว,Ochna integerrima,"Ochna integerrima (Lour.) Merr.",25,11,24,2.2,3.55,4.5,3,5.77,13.5
ซิลเวอร์โอ๊ค,Grevillea robusta,Grevillea robusta A.Cunn. ex R.Br.,12,0,12,,,,2,7.42,13
ดีหมี,Cleidion javanicum,Cleidion javanicum Blume,2,2,2,5,9,13,5.5,7,8.5
ตองเต่า,Pterospermum cinnamomeum,Pterospermum cinnamomeum Kurz,10,9,8,3.6,6.34,12,2.6,7.44,18
ตะขบบ้าน,Muntingia calabura,Muntingia calabura L.,8,8,8,8,8.5,9,6.5,10.48,12.5
ตะขบป่า,Flacourtia indica,"Flacourtia indica (Burm.f.) Merr.",5,3,5,5.2,9.33,11.6,6.4,8.28,12.7
ตะขบยักษ์,Flacourtia jangomas,"Flacourtia jangomas (Lour.) Raeusch.",2,2,2,5.5,6.75,8,10,10,10
ตะคร้อ,Schleichera oleosa,"Schleichera oleosa (Lour.) Oken",29,10,28,2,13.17,81,4.6,9.54,18
ตะคร้อหนาม,Sisyrolepis muricata,"Sisyrolepis muricata (Pierre) Leenh.",4,3,4,7,12.33,15,7.1,9.38,13.5
ตะคร้ำ,Garuga pinnata,Garuga pinnata Roxb.,19,15,18,4.1,14.31,52,5.1,11.52,20.12
ตะบูนขาว,Xylocarpus granatum,Xylocarpus granatum J.Koenig,8,3,8,4,4.83,5.5,3.7,5.23,7.2
ตะบูนดำ,Xylocarpus moluccensis,"Xylocarpus moluccensis (Lam.) M.Roem.",5,0,5,,,,3.8,6.58,9.5
ตะพุนเฒ่า,Vitex quinata,"Vitex quinata (Lour.) F.N.Williams",3,3,3,9,11.6,16.3,7.7,11.6,19.2
ตะเคียนทอง,Hopea odorata,Hopea odorata Roxb. ex G.Don,256,86,254,1.7,10.12,25.2,2.5,12.78,169
ตะแบกกราย,Terminalia pierrei,Terminalia pierrei Gagnep.,14,0,14,,,,3.9,10.06,16
ตะแบกนา,Lagerstroemia floribunda,Lagerstroemia floribunda Jack,141,40,140,2.5,7.61,18,0,9.94,20.8
ตะแบกเกรียบ,Lagerstroemia cochinchinensis,Lagerstroemia cochinchinensis Pierre,38,2,38,8.9,10.15,11.4,4,11.92,21.7
ตะแบกเปลือกบาง,Lagerstroemia duperreana,Lagerstroemia duperreana Pierre ex Gagnep.,4,4,4,6.5,11.22,14.4,7.3,12.63,16.2
ตะแบกเลือด,Terminalia mucronata,Terminalia mucronata Craib & Hutch.,31,14,31,5.8,8.6,12.3,3.5,9,12.9
ตะแบกแดง,Lagerstroemia calyculata,Lagerstroemia calyculata Kurz,2,2,2,6,8,10,9,10.05,11.1
ตะโกนา,Diospyros rhodocalyx,Diospyros rhodocalyx Kurz,67,24,67,1.9,6.61,13.5,1.18,7.93,17.2
ตะโกพนม,Diospyros castanea,"Diospyros castanea (Craib) H.R.Fletcher",11,9,11,6,8.34,11.7,6,8.75,16.4
ตะโกสวน,Diospyros malabarica,"Diospyros malabarica (Desr.) Kostel.",12,4,12,5,8.45,13.7,4.57,8.81,14.8
ตังหน,Calophyllum calaba,Calophyllum calaba L.,6,0,6,,,,5.1,9.75,19.7
ตับเต่าต้น,Diospyros ehretioides,Diospyros ehretioides Wall. ex G.Don,4,1,4,5.5,5.5,5.5,6.5,9.18,15
ตาตุ่มทะเล,Excoecaria agallocha,Excoecaria agallocha L.,10,0,10,,,,4,4.68,5.8
ตาตุ่มบก,Falconeria insignis,Falconeria insignis Royle,1,0,1,,,,17,17,17
ตานเสี้ยน,Xantolis siamensis,"Xantolis siamensis (H.R.Fletcher) P.Royen",9,0,9,,,,5.9,8.99,15.7
ตาเสือ,Aphanamixis polystachya,"Aphanamixis polystachya (Wall.) R.Parker",3,2,3,11,12.5,14,11.5,12.5,14
ตำเสาหนู,Tristaniopsis burmanica,"Tristaniopsis burmanica (Griff.) Peter G.Wilson & J.T.Waterh.",2,0,2,,,,10.9,10.9,10.9
ติ้วขน,Cratoxylum formosum subsp. pruniflorum,"Cratoxylum formosum subsp. pruniflorum (Kurz) Gogelein",65,35,61,4.2,13.41,16,4.2,11.27,19
ติ้วขาว,Cratoxylum formosum subsp. formosum,"Cratoxylum formosum subsp. formosum (Jack) Benth. & Hook.f. ex Dyer",7,7,7,7,10.07,16,6,10.17,15.9
ติ้วเกลี้ยง,Cratoxylum cochinchinense,"Cratoxylum cochinchinense (Lour.) Blume",50,21,49,5,9.68,14,5.1,8.38,13.1
ตีนนก,Vitex pinnata,Vitex pinnata L.,22,13,21,3.9,8.83,18.8,5,8.45,14
ตีนเป็ดทราย,Cerbera manghas,Cerbera manghas L.,7,7,7,4,4.97,5.4,4,4,4
ตีนเป็ดทะเล,Cerbera odollam,Cerbera odollam Gaertn.,70,52,68,3.3,6.64,13,3,6.99,13.4
ถั่วขาว,Bruguiera cylindrica,"Bruguiera cylindrica (L.) Blume",2,0,2,,,,7.2,7.55,7.9
ถ่านไฟผี,Diospyros montana,Diospyros montana Roxb.,11,5,11,4.2,6.6,9,5.7,8.59,11.7
ทองกวาว,Butea monosperma,"Butea monosperma (Lam.) Kuntze",36,3,36,8.7,11.9,16,3.6,7.86,23.7
ทองหลางน้ำ,Erythrina fusca,Erythrina fusca Lour.,2,2,2,5.5,6.15,6.8,7,8.6,10.2
ทองอุไร,Tecoma stans,"Tecoma stans (L.) Juss. ex Kunth",4,0,4,,,,4.1,4.8,5.7
ทองแมว,Gmelina elliptica,Gmelina elliptica Sm.,1,0,1,,,,7.2,7.2,7.2
ทิ้งถ่อน,Albizia procera,"Albizia procera (Roxb.) Benth.",13,9,13,4,11.1,19,7.5,15.85,27.6
ทุ้งฟ้า,Alstonia macrophylla,Alstonia macrophylla Wall. ex G.Don,3,2,3,8.7,15.5,22.3,8.1,13.57,20.5
ธนนไชย,Buchanania siamensis,Buchanania siamensis Miq.,6,2,6,8,8,8,5.4,8.55,11.7
นนทรี,Peltophorum pterocarpum,"Peltophorum pterocarpum (DC.) Backer ex K.Heyne",105,52,103,4.7,11.63,25.5,5.3,12.37,22.4
นวล,Garcinia merguensis,Garcinia merguensis Wight,4,0,4,,,,7.8,8.97,10.6
นวลเสี้ยน,Aporosa octandra,"Aporosa octandra (Buch.-Ham. ex D.Don) Vickery",7,0,7,,,,6,10.2,18.4
นั่งจ้อย,Diospyros curranii,Diospyros curranii Merr.,1,1,1,17.4,17.4,17.4,10,10,10
นิโครธ,Ficus benghalensis,Ficus benghalensis L.,4,4,4,4.5,5.75,7.5,5.3,7.08,9.7
นุ่น,Ceiba pentandra,"Ceiba pentandra (L.) Gaertn.",2,1,2,15,15,15,14.5,14.5,14.5
น้อยหน่า,Annona squamosa,Annona squamosa L.,5,0,5,,,,3.8,5.58,6.9
น้ำเกลี้ยง,Gluta laccifera,"Gluta laccifera (Pierre) Ding Hou",1,1,1,4.2,4.2,4.2,4.8,4.8,4.8
น้ำเต้าต้น,Crescentia cujete,Crescentia cujete L.,2,1,2,6,6,6,5.6,5.91,6.22
บุนนาค,Mesua ferrea,Mesua ferrea L.,11,1,11,5.7,5.7,5.7,8.9,12.01,15.7
